Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
auto-lifting,(default package),MavenWrapperDownloader,main,46,5,1,49,0,,
auto-lifting,(default package),MavenWrapperDownloader,downloadFileFromURL,19,2,2,98,0,,
auto-lifting,(default package),MavenWrapperDownloader,getPasswordAuthentication,3,1,0,103,0,,
auto-lifting,com.ngd.autolifting,AutoLiftingApplication,main,3,1,1,13,0,,
auto-lifting,com.ngd.autolifting,AutoLiftingApplication,restTemplate,3,1,0,16,0,,
auto-lifting,com.ngd.autolifting,AutoLiftingApplication,runner,6,1,0,21,0,,
auto-lifting,com.ngd.autolifting,Middleware,Middleware,5,1,0,25,0,,
auto-lifting,com.ngd.autolifting,Middleware,encrypt,8,1,1,31,0,com.ngd.autolifting.model.CryptoUtility,com.ngd.autolifting.model.CryptoUtility
auto-lifting,com.ngd.autolifting,Middleware,decrypt,8,1,1,38,0,com.ngd.autolifting.model.CryptoUtility,com.ngd.autolifting.model.CryptoUtility
auto-lifting,com.ngd.autolifting,Middleware,sign,8,1,1,45,0,com.ngd.autolifting.model.CryptoUtility,com.ngd.autolifting.model.CryptoUtility
auto-lifting,com.ngd.autolifting,Middleware,generateChecksum,13,1,1,53,0,,
auto-lifting,com.ngd.autolifting,AutoLiftingApplicationTests,contextLoads,2,1,0,9,1,,
auto-lifting,com.ngd.autolifting.exception,AsymmetricEncryptionFailure,AsymmetricEncryptionFailure,3,1,1,26,0,,
auto-lifting,com.ngd.autolifting.exception,ResourceNotFoundException,ResourceNotFoundException,3,1,0,23,0,,
auto-lifting,com.ngd.autolifting.exception,ResourceNotFoundException,ResourceNotFoundException,3,1,2,27,0,,
auto-lifting,com.ngd.autolifting.exception,ResourceNotFoundException,ResourceNotFoundException,3,1,1,31,0,,
auto-lifting,com.ngd.autolifting.exception,ResourceNotFoundException,ResourceNotFoundException,3,1,1,35,0,,
auto-lifting,com.ngd.autolifting.exception,SignatureVerificationException,SignatureVerificationException,3,1,0,23,0,,
auto-lifting,com.ngd.autolifting.exception,SignatureVerificationException,SignatureVerificationException,3,1,2,27,0,,
auto-lifting,com.ngd.autolifting.exception,SignatureVerificationException,SignatureVerificationException,3,1,1,31,0,,
auto-lifting,com.ngd.autolifting.exception,SignatureVerificationException,SignatureVerificationException,3,1,1,35,0,,
auto-lifting,com.ngd.autolifting.exception,SymmetricEncryptionFailure,SymmetricEncryptionFailure,3,1,1,26,0,,
auto-lifting,com.ngd.autolifting.model,AutoLifting,AutoLifting,4,1,0,46,0,,
auto-lifting,com.ngd.autolifting.model,AutoLifting,recharge,9,1,2,51,0,com.ngd.autolifting.model.CryptoUtility,com.ngd.autolifting.model.CryptoUtility; com.ngd.autolifting.model.AutoLifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,initialize,55,2,2,64,0,com.ngd.autolifting.model.CryptoUtility,com.ngd.autolifting.model.CryptoUtility
auto-lifting,com.ngd.autolifting.model,AutoLifting,lift,51,1,5,132,0,com.ngd.autolifting.model.CryptoUtility,com.ngd.autolifting.model.CryptoUtility; com.ngd.autolifting.model.AutoLifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,status,43,2,1,195,0,,
auto-lifting,com.ngd.autolifting.model,AutoLifting,statusByRequestDateTimeAndReferenceNo,46,2,2,243,0,com.ngd.autolifting.model.CryptoUtility,com.ngd.autolifting.model.CryptoUtility; com.ngd.autolifting.model.AutoLifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,prepareTxnData,26,1,5,296,0,com.ngd.autolifting.model.BeneficiaryInfo,com.ngd.autolifting.model.BeneficiaryInfo; com.ngd.autolifting.model.TransactionInfo; com.ngd.autolifting.model.AutoLifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,generateSignature,21,1,1,334,0,,
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,BeneficiaryInfo,2,1,0,25,0,,
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,BeneficiaryInfo,5,1,3,28,0,,
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,getAccountNoType,3,1,0,34,0,,
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,setAccountNoType,3,1,1,38,0,,
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,getAccountNo,3,1,0,42,0,,
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,setAccountNo,3,1,1,46,0,,
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,getUserType,3,1,0,50,0,,
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,setUserType,3,1,1,54,0,,
auto-lifting,com.ngd.autolifting.model,BeneficiaryInfo,toString,3,1,0,58,0,,
auto-lifting,com.ngd.autolifting.model,CryptoUtility,CryptoUtility,2,1,0,41,0,,
auto-lifting,com.ngd.autolifting.model,CryptoUtility,encrypt,13,1,2,44,0,,
auto-lifting,com.ngd.autolifting.model,CryptoUtility,decrypt,12,1,2,58,0,,
auto-lifting,com.ngd.autolifting.model,CryptoUtility,sign,13,1,2,71,0,,
auto-lifting,com.ngd.autolifting.model,CryptoUtility,verifySign,13,1,3,85,0,,
